"","Player.Name","Player.ID","Salary","PTS","REB","AST","BLK","WAR","PER","WS","WS.48","BPM","VORP","eFG","OR.","TO.","FTr","Usage","Rookie.Scale.","Max","Age","Under.27","X27.33","Over.33","salary_pred","salary_diff"
"1","Steven Adams","adamsst01",25842697,615,526,139,62,3.3,20.8,5.9,0.2,3.1,1.9,0.593,14.4,14.1,0.4,17.2,0,1,26,1,0,0,14917853.1444145,1.39941259120193
"2","Bam Adebayo","adebaba01",3454080,996,650,313,80,4.9,20.5,7.7,0.2,3.6,3,0.568,8.7,17.5,0.5,20.8,1,0,22,1,0,0,24376848.7775343,-2.54595443912827
"3","LaMarcus Aldridge","aldrila01",26000000,977,390,127,83,1.8,19.9,4.5,0.1,1.4,1.5,0.532,6.3,7.8,0.2,23.6,0,1,34,0,0,1,19872176.2101886,0.667237760503473
"4","Nickeil Alexander-Walker","alexani01",2964840,211,80,74,7,-0.5,7.6,-0.4,0,-4.9,-0.4,0.427,1.7,14.3,0.1,22.8,1,0,21,1,0,0,10774263.6954413,-0.542134895473828
"5","Grayson Allen","allengr01",2429400,221,66,43,1,0.1,11.4,0.7,0.1,-2.6,-0.1,0.543,1.1,10.7,0.2,17.9,1,0,24,1,0,0,6804824.23586871,-0.00147859569231901
"6","Jarrett Allen","allenja01",2376840,655,584,83,83,3.9,20.4,6.8,0.2,2.1,1.6,0.646,12.5,12.2,0.6,15,1,0,21,1,0,0,12051770.5911315,-0.801504936411494
"7","Al-Farouq Aminu","aminual01",9258000,78,87,21,8,0,7.7,0.1,0,-3.2,-0.1,0.343,6.6,14.7,0.3,13.2,0,0,29,0,1,0,8206653.1571376,0.553056074841266
"8","Kyle Anderson","anderky01",9073050,314,243,122,27,1.3,13,2.1,0.1,0.3,0.6,0.521,5.1,15.1,0.2,13.3,0,0,26,1,0,0,9620429.49372077,0.318315300884562
"9","Ryan Anderson","anderry01",5214583,5,7,2,0,0,9.5,0,0,-3.3,0,0.357,0,12.5,0,23.6,0,0,31,0,1,0,15069729.4472985,-0.939656782275751
"10","Giannis Antetokounmpo","antetgi01",25842697,1658,772,323,58,9.5,31.8,10.3,0.3,11.4,5.9,0.583,7.8,13.1,0.5,37.4,0,1,25,1,0,0,42900184.3149166,-2.83571152162658
"11","Thanasis Antetokounmpo","antetth01",1445697,36,13,6,1,0.1,13,0.1,0.1,-4,0,0.528,12.4,20.5,0.4,23.8,0,0,27,1,0,0,8125994.14153974,-0.311885762760898
"12","Carmelo Anthony","anthoca01",2159029,727,302,69,21,-2,12.2,1,0,-3.8,-0.7,0.479,4,10.5,0.2,21.6,0,0,35,0,0,1,14265290.675672,-1.1609764443485
"13","OG Anunoby","anunoog01",2281800,656,334,98,41,2.2,13.4,5,0.1,1.2,1.5,0.584,4.2,11.7,0.2,14.4,1,0,22,1,0,0,11574801.3098802,-0.739986563750125
"14","Ryan Arcidiacono","arcidry01",3000000,261,110,96,3,1.6,9,1.3,0.1,-2.8,-0.2,0.532,2.3,13.5,0.2,12.5,1,0,25,1,0,0,5037829.01780736,0.33002183613099
"15","Trevor Ariza","arizatr01",12200000,379,228,86,14,1.3,10.8,2.4,0.1,-0.5,0.5,0.557,2.5,13.6,0.2,11.9,0,0,34,0,0,1,10499705.2461197,0.536324588919059
"16","D.J. Augustin","augusdj01",7250000,453,102,211,1,0.6,13.5,2.1,0.1,-1.8,0.1,0.469,1.5,12.9,0.4,19.1,0,0,32,0,1,0,12372186.372926,-0.302851300174572
"17","Deandre Ayton","aytonde01",9562920,570,360,57,51,2,20.4,2.5,0.1,0.4,0.6,0.548,13.5,12.4,0.2,24.3,1,0,21,1,0,0,11872644.7587439,0.0324442706181724
"18","Dwayne Bacon","bacondw01",1618520,224,100,52,2,-1,6.1,-0.7,-0.1,-6.9,-0.8,0.387,2.3,12.2,0.2,19.5,1,0,24,1,0,0,9075426.02622228,-0.436178003715921
"19","Marvin Bagley","baglema01",8556120,185,97,10,12,-0.3,15.8,0.4,0.1,-3.4,-0.1,0.479,9.5,9.1,0.2,25.9,1,0,20,1,0,0,8025978.40882192,0.501595520629879
"20","Lonzo Ball","balllo01",8719320,661,334,376,29,1.8,13.7,2.4,0.1,0.9,1.3,0.523,3.6,20.7,0.1,18.6,1,0,22,1,0,0,16731970.6595142,-0.797732108735723
"21","Mo Bamba","bambamo01",5697600,319,285,39,84,1.4,17.7,2.4,0.1,0.5,0.5,0.534,11.7,12.2,0.2,17.2,1,0,21,1,0,0,7360406.5059735,0.281380945325996
"22","J.J. Barea","bareajo01",2564753,189,45,91,2,1.1,16.3,0.7,0.1,0.3,0.2,0.494,2.7,15.8,0.1,24.3,0,0,35,0,0,1,14971869.1925644,-1.22236318986213
"23","Harrison Barnes","barneha02",24147727,912,296,148,9,2.3,13.2,4,0.1,-1.3,0.4,0.524,3,8.9,0.3,17.6,0,0,27,1,0,0,11977826.713431,1.65407760961378
"24","RJ Barrett","barrerj01",7839960,732,261,133,16,-1.4,10.4,-0.6,0,-4.4,-1,0.445,3,12.9,0.3,24,1,0,19,1,0,0,11400180.6230615,-0.0894987741558769
"25","Will Barton","bartowi01",12960000,816,345,203,26,5.2,15.4,4.1,0.1,1,1.4,0.523,4.4,9.9,0.2,20,0,0,29,0,1,0,16956138.8467963,-0.355524979692254
"26","Keita Bates-Diop","bateske01",1416852,258,112,30,21,-0.6,12.6,1.1,0.1,-0.8,0.2,0.502,3.2,5.5,0.3,15.6,1,0,24,1,0,0,5831780.8511811,0.0321046203100419
"27","Nicolas Batum","batumni01",25565217,79,100,66,8,1.3,9.1,0.6,0.1,-1.9,0,0.432,5.2,20.5,0.1,9.4,0,1,31,0,1,0,7510373.35515146,2.48937931169001
"28","Aron Baynes","baynear01",5453280,413,212,64,20,0.7,14.7,1.8,0.1,-1,0.2,0.558,8.3,10.8,0.2,21.1,0,0,33,0,0,1,11160904.6527778,-0.321255972250186
"29","Kent Bazemore","bazemke01",19269662,534,264,80,39,2.1,9,0.6,0,-3.2,-0.5,0.453,1.6,13.2,0.3,17.2,0,0,30,0,1,0,12457560.2936135,1.03377069285779
"30","Darius Bazley","bazleda01",2284800,238,196,29,35,-0.1,8.2,0.3,0,-2.4,-0.1,0.448,2.7,13.8,0.2,14.1,1,0,19,1,0,0,7501599.47370644,-0.123170880803086
"31","Bradley Beal","bealbr01",27093019,1644,233,330,19,3.2,23.1,4.8,0.1,2.8,2.3,0.52,2.7,11.4,0.4,34.4,0,1,26,1,0,0,25370872.6599805,-0.0422676492998471
"32","Malik Beasley","beaslma01",2731714,560,132,73,8,1,12.7,1.4,0.1,-1.8,0,0.525,1.6,9.2,0.1,21.8,1,0,23,1,0,0,9851720.0537659,-0.42868288728758
"33","Marco Belinelli","belinma01",5846154,285,86,63,1,-0.5,9.7,0.4,0,-3.4,-0.3,0.496,0.6,5.2,0.2,17,0,0,33,0,0,1,8273374.57408308,0.159882626563199
"34","Jordan Bell","belljo01",1620564,93,81,16,10,0.3,14,0.4,0.1,-2.5,0,0.552,12,20.7,0.5,16.4,1,0,25,1,0,0,4593568.63993406,0.242380334024749
"35","DeAndre' Bembry","bembrde01",2603982,249,152,81,19,0.4,9.6,0.2,0,-2.4,-0.1,0.489,4,19.4,0.2,14,1,0,25,1,0,0,8304128.8598421,-0.208796545178571
"36","Dragan Bender","bendedr01",1678854,74,63,24,9,0.1,7.9,0.1,0,-4.6,-0.2,0.527,5.9,17.6,0.2,17.7,1,0,22,1,0,0,5825057.70423074,0.0625392226575191
"37","Dāvis Bertāns","bertada01",7000000,781,238,88,33,4.1,15.6,3.3,0.1,1,1.1,0.598,2.3,8.2,0.2,19,1,0,27,1,0,0,12331376.3282391,-0.324744196595122
"38","Patrick Beverley","beverpa01",12345679,363,252,176,25,4.5,12.5,3.4,0.1,2.2,1.3,0.543,4.6,15.7,0.1,13,0,0,31,0,1,0,12700881.2069929,0.219533285117718
"39","Khem Birch","birchkh01",3000000,153,180,35,21,0.4,10.2,1.5,0.1,-3,-0.2,0.487,9.3,13.7,0.6,9.3,1,0,27,1,0,0,3121591.31946219,0.620044294686111
"40","Goga Bitadze","bitadgo01",2816760,148,94,21,31,-0.6,12.2,0.6,0.1,-2.5,0,0.496,6,14.8,0.3,18.1,1,0,20,1,0,0,6439890.10701197,0.0972461594894471
"41","Bismack Biyombo","biyombi01",17000000,381,300,48,47,0.1,16.2,2.3,0.1,-2.6,-0.1,0.543,12.3,12.2,0.5,16.8,0,0,27,1,0,0,7036776.67338017,1.59937290525814
"42","Nemanja Bjelica","bjeline01",6825000,735,399,175,32,3.5,15.6,4.7,0.1,1.6,1.6,0.579,6.5,12.6,0.1,17.4,0,0,31,0,1,0,16359068.37917,-0.953983788329378
"43","Eric Bledsoe","bledser01",15625000,826,252,292,25,4.3,18.3,5.3,0.2,2.4,1.6,0.535,2.8,15.8,0.3,24,0,0,30,0,1,0,20044435.5428226,-0.523717687860941
"44","Bogdan Bogdanović","bogdabo01",8529386,731,162,159,12,1.8,14,2.1,0.1,0.1,0.8,0.541,1.2,11.5,0.2,22.3,1,0,27,1,0,0,14195072.7115855,-0.435098164568962
"45","Bojan Bogdanović","bogdabo02",17000000,1230,249,126,7,3.3,16,4.3,0.1,0.4,1.2,0.548,2.2,13.1,0.3,25.6,0,0,30,0,1,0,19202384.4026804,-0.241891081206504
"46","Jonah Bolden","boldejo01",1698450,10,9,0,2,-0.1,4.9,0,0,-8.9,-0.1,0.364,7,13.6,0.4,13.4,1,0,24,1,0,0,4825672.10761637,0.215996370871448
"47","Isaac Bonga","bongais01",1416852,256,183,61,20,2.1,10.6,1.6,0.1,-2.5,-0.1,0.582,6.3,16.2,0.3,10.3,1,0,20,1,0,0,2239866.98251095,0.575740564853654
"48","Devin Booker","bookede01",27250000,1531,242,379,14,4.1,19.7,5.7,0.1,1.7,2,0.543,1.3,15.7,0.4,29.5,0,1,23,1,0,0,22469206.7177272,0.414524822827272
